LCSC Part,First Category,Second Category,MFR.Part,Package,Solder Joint,Manufacturer,Library Type,Description,Datasheet,Price,Stock
C17887,Resistors,Chip Resistor - Surface Mount,1206W4F3000T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,1/4W Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷300兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-1206W4F3000T5E_C17887.pdf,"15-135:0.004123077,150-435:0.003323077,450-1485:0.002892308,1500-7485:0.002707692,7500-14985:0.002461538,15000-:0.002369231",50641
C17888,Resistors,Chip Resistor - Surface Mount,1206W4F0000T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,250mW Thick Film Resistors 200V 亇1% 亇800ppm/亷-55乣+155亷0m兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-1206W4F0000T5E_C17888.pdf,"15-135:0.003400000,150-435:0.002630769,450-1485:0.002230769,1500-7485:0.002046154,7500-14985:0.001800000,15000-:0.001723077",236636
C17900,Resistors,Chip Resistor - Surface Mount,1206W4F1003T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,1/4W Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷100k兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1003T5E_C17900.pdf,"15-135:0.003323077,150-435:0.002523077,450-1485:0.002092308,1500-7485:0.001907692,7500-14985:0.001646154,15000-:0.001553846",172131
C17901,Resistors,Chip Resistor - Surface Mount,1206W4F1000T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,1/4W Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷100兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1000T5E_C17901.pdf,"15-135:0.003615385,150-435:0.002815385,450-1485:0.002384615,1500-7485:0.002200000,7500-14985:0.001938462,15000-:0.001861538",244625
C17902,Resistors,Chip Resistor - Surface Mount,1206W4F1002T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,1/4W Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷10k兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1002T5E_C17902.pdf,"15-135:0.004338462,150-435:0.003507692,450-1485:0.003076923,1500-7485:0.002876923,7500-14985:0.002615385,15000-:0.002523077",253600
C17903,Resistors,Chip Resistor - Surface Mount,1206W4F100JT5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,250mW Thick Film Resistors 200V 亇1% 亇400ppm/亷-55乣+155亷10兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F100JT5E_C17903.pdf,"15-135:0.003476923,150-435:0.002707692,450-1485:0.002292308,1500-7485:0.002107692,7500-14985:0.001861538,15000-:0.001769231",466192
C17909,Resistors,Chip Resistor - Surface Mount,1206W4F1200T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,1/4W Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷120兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1200T5E_C17909.pdf,"15-135:0.003553846,150-435:0.002784615,450-1485:0.002384615,1500-7485:0.002200000,7500-14985:0.001953846,15000-:0.001876923",88474
C17924,Resistors,Chip Resistor - Surface Mount,1206W4F1800T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,250mW Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷180兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1800T5E_C17924.pdf,"15-135:0.003246154,150-435:0.002538462,450-1485:0.002153846,1500-7485:0.001984615,7500-14985:0.001753846,15000-:0.001676923",51679
C17927,Resistors,Chip Resistor - Surface Mount,1206W4F1004T5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,1/4W Thick Film Resistors 200V 亇1% 亇100ppm/亷-55乣+155亷1M兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1004T5E_C17927.pdf,"15-135:0.004276923,150-435:0.003492308,450-1485:0.003076923,1500-7485:0.002815385,7500-14985:0.002600000,15000-:0.002476923",570605
C17928,Resistors,Chip Resistor - Surface Mount,1206W4F100KT5E,1206,2,UNI-ROYAL(Uniroyal Elec),Basic,250mW Thick Film Resistors 200V 亇1% 亇800ppm/亷-55乣+155亷1兌 1206  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F100KT5E_C17928.pdf,"15-135:0.004000000,150-435:0.003138462,450-1485:0.002661538,1500-7485:0.002384615,7500-14985:0.002138462,15000-:0.002000000",71426
